#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
feudal_government;Монархия;;;;;;;;;;;;;
feudal_government_desc;Монархия — форма правления, при которой верховная государственная власть частично или полностью принадлежит одному лицу — монарху.;;;;;;;;;;;;;
tribal_monarchy_government;Племенная Монархия;;;;;;;;;;;;;
tribal_monarchy_government_desc;Племенная монархия — политическая система, где крупное племенной общество формирует подобие централизованного государства, с одним главным правителем, который и управляет им руководясь законами и традициями. В отличии от обычного племенного строя, для племенной монархии доступны продвинутые законы наследования и не ограничены только племенными "владениями".;;;;;;;;;;;;;
technocracy_government;Технократия;;;;;;;;;;;;;
technocracy_government_desc;Технократия — форма правления и устройства общества, при которой власть принадлежит научно-техническим специалистам, а лидер государства выбирается из их круга раз в 8 лет.;;;;;;;;;;;;;
weak_technocracy_government;Технократия;;;;;;;;;;;;;
weak_technocracy_government_desc;Технократия — форма правления и устройства общества, при которой власть принадлежит научно-техническим специалистам, а лидер государства выбирается из их круга.;;;;;;;;;;;;;
magocracy_government;Магократия;;;;;;;;;;;;;
magocracy_government_desc;Магократия — форма правления и устройства общества, при которой государство управляется коллегией магов, а лидер государства выбирается из их круга.;;;;;;;;;;;;;
uncolonized_government;Не Колонизированная Земля;;;;;;;;;;;;;
uncolonized_government_desc;На этой территории отсутствует какая-либо форма правления и она открыта для колонизации.;;;;;;;;;;;;;
legion_government;Демонический Легион;;;;;;;;;;;;;
legion_government_desc;Демонические легионы, ведомые своей природной жестокостью и жаждой к насилию, несут смерть и разрушение по всему Азероту. Война – это их форма существования, а убийство – некий вид развлечения. Им чужда мирная жизнь и дипломатия.;;;;;;;;;;;;;
scourge_government;Орда Нежити;;;;;;;;;;;;;
scourge_government_desc;Орды нежити представляют собой толпы безмозглых мертвецов под командованием некроманта, который использует ходячие трупы для достижения свои целей. Чувство голода и постоянная нужда новых тел – это то, что движет ордой. Им чужда мирная жизнь и дипломатия.;;;;;;;;;;;;;
black_pact_government;Черный Пакт;;;;;;;;;;;;;
black_pact_government_desc;Черным Пактом движет воля Древних Богов. Черный Пакт несет боль, безумие и слово своих Владык по всему Азероту. У них нет принципов, есть лишь цель ­– конец времен, когда Азерот вновь погрузиться во Тьму. Им чужда мирная жизнь и дипломатия.;;;;;;;;;;;;;
dragon_government;Драконья Стая;;;;;;;;;;;;;
dragon_government_desc;Драконья стая представляет собой иерархическое общество драконов и других драконидов.;;;;;;;;;;;;;
society_government;Организация;;;;;;;;;;;;;
society_government_desc;Форма правления, отображающая общества и организации.;;;;;;;;;;;;;
